comentario,cluster_final,categoria_tema,tema_cluster,sentimento_cluster
"Vera Magalhães deve ter vergonha de olhar para seus filhos a noite , colocar a cabeça no travesseiro e dormir tranquila , dormir com dignidade e honestidade , vera caráter acima de tudo.",-1,,,
"Essas mulheres aí ao invés de falar o que vão fazer para o Brasil e do seu governo caso seja eleita, só ficam atacando o atual presidente, é vergonhoso isso, se tivessem boas propostas não ficavam atacando o governo atual e sim dando soluções para o futuro, é muita ladainha e papo furado... Muita hipocrisia e falsidade. Só nos faz lembrar da Dilma, é constrangedor e vergonhoso.",-1,,,
"Ladrão, jumento velho, cachaceiro! SO NO Brasil, um corrupto declarado concorre a presidência que ele fez questão de devastar. Ele e Dilma. Vote22",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"a música do início kkkkkkkkkk pensei que tava assistindo dragon ball, que louco",-1,,,
"Vocês vão votar  quem ??
Sem brigas",-1,,,
Isso aí Bolsonaro,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Bolsonaro mau caráter e mau educado como sempre...,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
O discurso final do Lula totalmente sem sentido,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bolsonaro desvia o assunto sobre a votação contra o contrato de trabalho e direito trabalhista das mulheres !!! E depois diz que todos são iguais kkk. Hà controvérsia 😢,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Ex presidiário da asco de ouvir. Ladrão corrupto, hipócrita",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"AS senadoras querem a igualdade de ambos lado, meu voto é SIMONE TEBET, mesmo não sendo a favorita do povo !!! Eu vou votar pelo futuro …",4,outros,Desempenho e propostas das candidatas no debate,negativo
"O pessoal só vê os argumentos ruins kkkk pra fazer piada …

Mas não vê o Simone Tebet dizendo que vai lutar pela igualdade das mulheres em relação os homens (é fato que a maioria das casas em que há separação o lado feminino fica com a criança, e ainda sim as mulheres não são 100% reconhecida no mercado econômico) Apoio muito a forma que a Simone Tebet defende o lado feminino !!! Lógico que ela fala coisas que deixam a desejar. Mas o Brasil merece uma nova oportunidade de crescimento e amadurecimento econômico social …",4,outros,Desempenho e propostas das candidatas no debate,negativo
Um circo e nos somos os palhaços.,-1,,,
"Batem tanto na saude
 eu fui marcar consulta em maio até agora os meus exames não foram marcados eu peguei os exames de sangue na clínica da família pq não tinha sido marcado e olha que já estamos em setembro aí eu paguei pra fazer pago pq se depender da saúde pública e mais fácil morremos na fila de esperar pq pra marcar 1 exames leva mais de 4 meses",-1,,,
acho que o ex presidiário LULA  deve sentir muito prazer em mentir vai se lasca 😁🖕,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Esse debate foi uma palhaçada... Os caras que deveriam mostrar propostas para o futuro do nosso país, focado em saúde, educação e etc. Parecem que estão na quarta série, ridicularizando uns aos outros...",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula como sempre foge da pergunta, foi perguntado sobre corrupção e ele respondeu o que ele fez e sobre a corrupção não falou NADA",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Faz parte do trabalho da jornalista que pergunta, ao perguntar tomar partido? Ainda mais em um debate?  O presidente comentou corretamente. Realmente profissionalmente vergonhoso.",-1,,,
Esse ama Lula kkkk,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"As pessoas com placa de fome nos sinais, não é de fome de comida e sim de fome de crack....",-1,,,
A ESGUECI GLOBO LIXO TEM G SAIR DO AR ESSE LIXO GLOBO,-1,,,
esse Lula ficou no poder e só roubou e g guer agora roubar mais esse  pessoas não falao o g vão fazer  e sim só falando mal um com outro g país e esses,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
globo lixo fora globo,-1,,,
em eles dizerem g vão fazer pelo país e um só falando mal do outro mais não falao g vão fazer pelo país como bolsonaro feis e ainda esta fazendo  gue merda e isso,-1,,,
"Fora Ciro Gomes ,verdadeiro bobo da corte ,faz parte da antiga panela.

""Não há nada de errado com aqueles que não gostam de política, simplesmente serão governados por aqueles que gostam."" Platão",6,outros,Críticas a candidatos e alianças políticas,negativo
Soraya nao seria presidente mas uma otima vice,4,outros,Desempenho e propostas das candidatas no debate,negativo
"2:38:24 ""Redo- reso- redovia-- rodo- ferrovias""",1,outros,Reações e humor a momentos do debate presidencial,misto
O lula morrendo de bajular o ciro achando q ele ia pender pra ele. Se lascou hshshs,6,outros,Críticas a candidatos e alianças políticas,negativo
Quer voltar o poder pra que? Hshshshs ele deveria ter vergonha na cara e ta murchando na cadeira. Lulaaladrao,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"3:24:50 Ué porque não ???
Qualé !? Estraga prazeres !!!",1,outros,Reações e humor a momentos do debate presidencial,misto
Não sei em qual do planeta existe esse ceará do Ciro😂😂😂😂,6,outros,Críticas a candidatos e alianças políticas,negativo
Olha não dá pra confiar em ninguém deles são eles respodem a organismos internacionais a Megadeth corporações enfim esses são não merecem o apoio do povo fala até papagaio falakkk espera oq desses covardes,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Candidato que quer privatizar tudo e invadir terras indígenas: Sua vida melhorou ou piorou nos últimos dez anos ? 

Minha vida melhorou e muito 😌👍🏽",-1,,,
"A senhora disse que não viu esse país acontecer muita coisa  , pois não viu o que fiz. A sua empregada viu, se motorista viu, seu jardineiro viu.(…) os pobres viram.(…) esse país acabou a escravidão em 1988. 👏🏽👏🏽👏🏽 Lula lá … 13",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙vvSÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙v,-1,,,
Jorge Viana odrebescheeeeee 2.00000 caixa dois,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙,-1,,,
BORA DEIXAR ESSE CHAT AO VIVO AZUL 💙💙💙1️⃣1️⃣💙💙💙,3,outros,Qualidade e organização do debate presidencial,positivo
"O governador que chamou mais de 50% de cadastro de reserva da polícia civil, militar e cadastro de reserva.💙💙💙💙",-1,,,
GLADSON CAMELI herói da saúde,-1,,,
"O governador que chamou mais de 50% de cadastro de reserva da polícia civil, militar e cadastro de reserva.💙💙💙💙",-1,,,
"GLADSON GOVERNADOR, merecedor!!!!!",-1,,,
"O governador que chamou mais de 50% de cadastro de reserva da polícia civil, militar e cadastro de reserva.💙💙💙💙",-1,,,
"O governador que chamou mais de 50% de cadastro de reserva da polícia civil, militar e cadastro de reserva.💙💙💙💙",-1,,,
"Mara Rocha teu irmão era secretário de segurança, saiu porque não cumpriu nada... Saiu por incompetência",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Mara Rocha mentirosaaaaa,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Foi reformado 3 pavilhões masculinos e dois pavilhões femininos, lá no Francisco de Oliveira conde......",-1,,,
O único governo que mas contratou reservado estado....,-1,,,
Mara sem conhecimento de governo,-1,,,
Gladson cameli merece ser reeleitor,-1,,,
"Gladson cameli, contratou 700 viaturas pra nossa segurança....",-1,,,
Avante 11 pra cima deles,-1,,,
Salários antecipados e contratos emergênciais de imediato,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Auxílio saúde para os profissionais de 900$ em dias,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Auxílio do bem na pandemia,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Governador entregou alimentação nas escolas, ESCOLAS FECHADAS E COMIDA NA MESA....",-1,,,
O GOVERNADOR foi o único governador que patrocinou o jogos escolares .....,-1,,,
Avantee GLADSON CAMELI É O CARA CERTO!!!!,-1,,,
SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙 SÓ O GLADSON TEM PROPOSTAS 💙💙💙💙,-1,,,
"Na Segurança Pública, o grande trunfo foi a redução em 53,36% no número de crimes contra a vida, em 2021, em relação a 2018, último ano da administração estadual passada. Já a diminuição de crimes no governo @GladsonCameli contra o patrimônio nesse mesmo período foi de 39,72%.",-1,,,
Anderson Souza foraaaaa,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Anderson Souza foraaaaa,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"GLADSON GOVERNADOR ABRIU INTO ACRE E Investiu NAS UTI, SALVOU MUITAS VIDAS, HEROI DA SAÚDE DA POPULAÇÃO!!!!",-1,,,
Mara Rocha foraaaaa!!!!!,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"16 mil pra cada computador contratado, pra onde foi esse dinheiro??????",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
CADE AS IMENDAS DA EDUCAÇÃO MARA ROCHA????,-1,,,
Cadê o fundo eleitoral petecao?,-1,,,
Peteca o só que 💸 ele não tem nenhum projeto.........,-1,,,
Cadê nosso 800 bilhões?????,-1,,,
Mal educado de todas as formas 55 não merece governar,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Peteca o voltou contra a imprensa,-1,,,
Cadê os 8 milhões que você roubou da nossa população????,-1,,,
Márcio bittar ingrato,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Márcio não tem conhecimento,-1,,,
11 é o cara certo pra rio branco,-1,,,
55 não tem projeto pra melhoria da nossa cidade,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Gladson o melhor governador,-1,,,
"chile,peru,bolivia ,gracias a vc ,lula  Odebrech llego  sos paisesvporq confiaron en vc",-1,,,
Fora bolsolixo nunca mais genocida vagabundo,-1,,,
22 Jair messias Bolsonaro em 2022!!👍🏾,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"O bolsonaro ama o PT mds kkk que inferno. Falar as propóstas que é bom, NADA. Lula a mesma merda. Oxe é o fresco é.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bolsonaro 2022 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Parabéns a Band. Pelo excelente debate.. me esclareceu muito sobre as impressões que tinha de um e de outro candidado..parabéns,3,outros,Qualidade e organização do debate presidencial,positivo
Imposto.único. perfeito. Mas isenção de imposto apenas pra uma única categoria. Daí acho promessa e um erro. O que precisa é corrigir a tabela do IR. Pra todos...e todos pagarem imposto...,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Resolver definitivamente o problema. Perigoso essa afirmação. Problemas sempre existirá. Simone vejo que vc tem boa vontade. Mas prometeu muito. Sugiro mitigar os problemas não resolvê Los definitivamente porque isso é praticamente impossível.,4,outros,Desempenho e propostas das candidatas no debate,negativo
Concordo. O Governo Lula apoiou  governos antidemocrático. Então não vejo isso como uma boa ideia.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Meus Deus. Novamente esse assunto sobre mulheres e homens.  Não se trata disse. Se trata da capacidade.. nisso confesso que a resposta do Lula sobre ministros técnicos me agrada. E sobre a resposta da Simoni dizendo que não haverá ministro corrupto, acho meio óbvio. É claro. Porém, só sabemos quem são as pessoa quando damos poder a ela. Então, não me agrada essa resposta.",4,outros,Desempenho e propostas das candidatas no debate,negativo
"..corrigindo .. ""funcionaria""...",-1,,,
"Acho que essa ideia de imposto único, mesmo não sendo uma ideia nova, ainda é algo interessante. Funciona nos EUA por estado, acredito que funcionária aqui.. A candidata advogada e professora, me agrada sobre esse assunto. Parabéns.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Ciro Gomes tem me surpreendido. Parabéns. Porém espero que não apoie, ainda que isso seja próprio da política, os que contraria num eventual segundo turno.",6,outros,Críticas a candidatos e alianças políticas,negativo
Lula 13 🥰,-1,,,
Essa candidata falou tudo sobre o porque escolheu um homem como vice.. parabéns. Paridade.. igualdade. De seres humanos. Basta dessa conversa X contra Y.,4,outros,Desempenho e propostas das candidatas no debate,negativo
"Não se trata de Branco, negro, amarelo, homem e mulher. Meu Deus, somos todos seres humanos e ponto..",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bolsonaro reeleito 🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Tantos problemas para serem resolvidos e a pessoa preocupada com a quantidade de mulheres que ocupam os ministérios, como se ter mais homens ou mulheres numa função fosse sinônimo de opressão ao sexo oposto. Se for seguir tal linha de raciocínio, toda empresa também deveria contratar metade homem, metade mulher de funcionários, alunos numa sala de aula; metade homens metade mulheres, pessoas dentro de um ônibus, metade homem metade mulheres, pessoas num restaurante; metade homem metade mulheres...",4,outros,Desempenho e propostas das candidatas no debate,negativo
"LEMBRAR QUE ESSA TEBET  E A DILMA DISFARÇADA, SO FALA ASNEIRAS",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Debate da Band foi top. 
Simone teber primeiro ela falar de fome sobre criança ligou para polícia que tava com fome e não tinha nada de comer. Certo mas ela parece  que não assistiu a reportagem toda por que a mãe do menino formada em técnica em enfermagem queria trabalhar, com cincos crianças, não tinha creche ou escola que poderia deixar crianças para trabalhar. Infelizmente ela parece que não assistiu a reportagem por completo ela queria trabalhar, mas devido a roubalheira e não tem escola ou creche para deixa as crianças para estudar. Brasil é país que paga trilhões de impostos por causa da roubalheira o país não se desenvolve. Simone não sabe nada sobre a fome se soubesse teria prestado atenção na reportagem. Entenderia que a mãe queria trabalhar a dignidade para trabalhar.",4,outros,Desempenho e propostas das candidatas no debate,negativo
"O LULA FALOU QUE NO SEU  GOVERNO SOBROU TANTO  DINHEIRO QUE ATE MANDOU  PARA OS OUTROS PAISES, CUBA,  VENEZUELA E OUTROS MAIS",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
ESSA TEBET QUER COMPRAR A GENTE   COM CELULAR  XING LING,4,outros,Desempenho e propostas das candidatas no debate,negativo
"VAMOS MANDAR O CIRO PRA   AFRICA  , MATAR A FOME DOS AFRICANOS,   COM UMA BOA PIMENTA   DA PRA ENGOLIR  ELE",6,outros,Críticas a candidatos e alianças políticas,negativo
Pra mim os únicos talvez que pode aproveitar alguma coisa pode ser ou Ciro Gomes ou o Lula roubou roubou mais pelo menos tinha emprego e o país estava em crescimento e hoje se encontra em achatamento total.,6,outros,Críticas a candidatos e alianças políticas,negativo
Candidato Bolsonaro um homem sem caráter mentiroso corrupto e sem plano de governo desde que foi eleito até agora não vir nada que este cara fez a não ser maltratar a população com muita fome desemprego e muita corrupção no seu governo e aí da por cima tem um Sr que acredito que se não manda na vida do Bolsonaro manda até no assuntos pessoais dele e que o Bolsonaro não sabe nada de economia e deixa tudo nas mãos do Paulo Guedes e este só trabalho pra ricos e pobre cada dia vai se acabando não por melhorar de vida mais por dois motivos ou por morte por esta na fome e na miséria total chega a morrer ou então  sai do país se quiser escapar pois aqui não tem espaço pra pobres e desempregado o governo Bolsonaro e de seu testa de ferro Paulo Guedes.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Gostei pois só assim eu fiquei sabendo a proposta de cada criatura que se se encontrou ai e pode ouvir e ver a proposta de cada um e pra mim o pior de todos foi o Sr Felipe D'Ávila  e agradeço a rede Bandeirantes de televisão pois foi de exemplo de excelência na transmissão e na comunicação e nas perguntas a cada candidato que aí se encontrou.,0,economia,Crescimento econômico e futuro do Brasil,negativo
EMPRESAS PRIVADAS ELA SEMPRE VAI PRIORIZAR SEUS LUCROS E JAMAIS O CLIENTE SEJA ELE QUAL FOR E TAMBÉM JAMAIS DARÁ OPORTUNIDADE PRA QUEM ESTA PASSANDO POR DIFICULDADES FINANCEIRAS OU SEJA É ASSIM QUE O CANDIDATO A PRESIDENTE DA REPÚBLICA SR. EMPRESÁRIO FELIPE DÁVILA QUER QUE OS BRASILEIROS VIVAM E MENDIGÃO NA MISÉRIA TORAL AO MEU VER ISTO INTERESA PRA ELE. MUITOS LUCROS E O BRASILEIROS E BRASILEIRAS MENDIGANDO NA MISÉRIA TOTAL .,0,economia,Crescimento econômico e futuro do Brasil,negativo
Candidato Felipe D'Ávila o pior candidato de todos que estão aí no debate.,0,economia,Crescimento econômico e futuro do Brasil,negativo
Me decepcionei totalmente com este candidato Felipe D'Ávila pois só pensa em acabar tudo no setor público e entregar nas mãos dos empresários lógico como ele é um dos grandes empresários deste país seria o grande beneficiado e com isso o brasileiro ou morreria de fome desempregado ou teria que mudar de país ou morreria de fome e de toda tipo de necessidades.,0,economia,Crescimento econômico e futuro do Brasil,negativo
Pra mim de todos tu é o pior pra todos os brasileiros e brasileiras.,-1,,,
Pra mim Felipe D'Ávila uma tremenda decepção mais tem pelo menos uma vantagem ele disse logo entre outra palavras que pretende acabar com todos pobres deste país mais de forma cruel matando todos sem água sem luz sem alimentação sem direitos a nada por que empresários só pensam neles e assim seu Felipe Davi lá,0,economia,Crescimento econômico e futuro do Brasil,negativo
Se este candidato está tão interessado em colocar empresas privadas no estado no município com certeza ele é um grande empresário e lógico se beneficiária com está atitude caso ele se elegesse . graças a Deus não se elegerá pois pessoas como está nem se quer está no poder e já tem a mente pode pois se nós tivéssemos a grande infelicidade de uma praga desta se eleger estávamos mortos .pois com certeza este crápula iria entregar o país para os estrangeiro acabaria com funcionários público e tornaria tudo provado covarde uma praga desta pra mim um lixo humano ainda bem que por se só em já demostrou e mostrou a porcaria que ele representa .DEUS ME LIVRE DESTE CANDIDATO FELIPE DAVILA UM VERDADEIRO IPOCRITA QUE SÓ SABE FALAR IPOCRISIA.,0,economia,Crescimento econômico e futuro do Brasil,negativo
"3:25:58 certíssimo, calou s Soraya",1,outros,Reações e humor a momentos do debate presidencial,misto
Até porque na verdade a obrigação sempre foi dos estados e município e se não funcionam simplesmente por causa de roubos de gestores vagabundos que ao meu ver eram pra estarem presos ou condenados a mortes como neste país a justiça não funciona e quando funciona simplesmente é pra apoiar facções e todos tipos de crimes.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Não gostei deste candidato pois privatização só ferra com o brasileiro e com o Brasil pois aumentão de mais seus valores cobrados e a prestação de serviço diminui a eficiência ou seja começa a prestar serviços ineficiente serviço porco principalmente na água e na luz a única coisa que empresas privadas sabem é aumentar taxas e nada mais.,-1,,,
Este candidato só gosta de privatização e privatização só ver lucros e esquece os direitos do cidadão,-1,,,
Fico com Tarcísio é claro,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
O único que é ficha limpa é só 2,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"ASSISTAM O CANAL DO OTARIO , O PIOR PESADELO DE EMPRESAS E PESSOAS QUE PROMOVEM PROPAGANDA ENGANOSA , E MENTIROSOS NO GERAL !  O CARA TAMBEM DA SUA OPINIAO SOBRE POLITICA TAMBEM EM SUAS LIVES , VAMOS DA UMA FORSA PRO CARA DE UMA OLHADA NO CANAL DO OTARIO !",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"vai caçar um implante capital ciro gomes
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",-1,,,
Lula quem não te conhece que te compre,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"2:20:28 ""eu sou culpado porque sou inocente"" anão mano kkkkkkk",1,outros,Reações e humor a momentos do debate presidencial,misto
"Boa noite, Salvador Bahia presente e dá-lhe Moro",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"É Tarcísio no primeiro turno!
O cara é dez!",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
BOLSONARO 22 🇧🇷🇧🇷👏🏻,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"O Lula é engraçado, ele que vive a inventar números e faz acusações contra. Rsrsrs .....é tenso um debate desse, eu não queria estar na pele dos que sofrem afrontas...não gosto da fala do Lula , nem do Bolsonaro, gosto da fala do Ciro e da sua postura  , porém não sei à quem darei meu voto, pois nem postura, nem fala, se não tiver caráter e sabedoria, não consegue dirigir a Nação....eles falam de Educação mas na área econômica,  quero ver Educação social, moral......",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"O Brasil tá na mão de palhaços. Não sei quem é mais ridículo, Bolsonaro ou lula",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"A Netflix perde e feio para esse debate é cada patada menino kkkkkkkkkkkkk
Mas perdido do que cego em tiroteio é a Soraia 2:24:48
1:14:08 já dá um começo de redação 
1:21:41 Lula arregaçou com a cara do bolsonaro kkkk 
1:43:44 
Eu terminado o ensino médio 🤡",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Parabéns Belo debate da Bandeirantes diferente da Globo lixo fica babando o
o Lula ladrão essa globo lixo péssimo exemplos pessoas de bem podre que essa Globo Ali ele via acabar",3,outros,Qualidade e organização do debate presidencial,positivo
Parabéns Belo debate da Band diferente da Globo lixo que fica lambendo o pau sdo Lula sem prensa suja que a Globo Bandeirantes de um Show,3,outros,Qualidade e organização do debate presidencial,positivo
Bolsonaro bosta si fosse só si cadastra era bom de mais,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Essa Simone tebet uma vergonha para o país,4,outros,Desempenho e propostas das candidatas no debate,negativo
"Só tem bolsonaristas nesses comentários, pqp",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Eu queria a Dilma no debate kkkkkkkk,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bolsonaro 2022 sem dúvidas!!!!!!,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Obrigado Band... Ótimo trabalho... mais fiquei triste... esse debate me fez perceber, que não consigo encontrar entre os candidatos um representante minimamente digno do meu voto.",3,outros,Qualidade e organização do debate presidencial,positivo
Essa Simone tapete parece com o doutor octopus do homem aranha,4,outros,Desempenho e propostas das candidatas no debate,negativo
Só no Brasil um ex presidiário concorrer a presidência da República. É o cúmulo. Deus nos livre,-1,,,
"Só falácia desse povo, a saúde pública nunca foi boa, não nenhum candidato desses aí abrir mão do fundo eleitoral, na pandemia não vi nenhum político abrir mão de 1 para ajuda o povo. BOLSONARO é que fez e faz",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Simone tapete vai dar 5 mil para os estudantes e o ladrão vai dar picanha com cerveja 🤣🤣🤣🤣🤣🤣🤣 o povo não é bobo não minha gente, a transposição passou 8 anos o ladrão só prometendo e comendo dinheiro aí veio o bozo em 2 anos levou água para o nordeste inclusive para o Ceará do Ciro. O bozo é mito",-1,,,
"Esse Ciro tem uma cara sinica da porra, cara de pau🤣🤣",6,outros,Críticas a candidatos e alianças políticas,negativo
Ciro vai acabar com a fome e tirar todos do SPC 🤣🤣🤣🤣🤣🤣 até em país de 1° mundo existe fome,6,outros,Críticas a candidatos e alianças políticas,negativo
Eu sou culpado por ser inocente 🤣🤣🤣 isso é um brincante 🤣🤣🤣 rindo como um condenado 🤣🤣🤣🤣🤣🤣🤣,-1,,,
Até que o Felipe d'Avila não é tão rico quanto os demais candidatos do Partido Novo... ele só tem declarado vinte e quatro milhões...,0,economia,Crescimento econômico e futuro do Brasil,negativo
"Depois desse debate, só tenho uma coisa a dizer... saudades do Brizola...",-1,,,
"Acho uma afronta quando falam: ""os alunos não estão aprendendo e os professores não estão ensinando..."", Quando nem estrutura e dinheiro se libera pra modernizar a educação e em boa formação de professores.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"A Simone Tebet diz ""Vamos parar de briga"", mas não para de atacar o Bolsonaro (que também não é um santo).
Que candidata nojenta, só fala besteiras.",4,outros,Desempenho e propostas das candidatas no debate,negativo
Lula e Lula quem rouba mais são aqueles que acusam sempre Lula e engual o flamengo todo mundo tem raiva kkkk,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Agora todos tem interesse de sair na rua para ver a situação do povo. 😜,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"BOLSONARO 1º TURNO
TEBBET SE É A FAVOR DAS MULHERES, PORQUE ESTÁ MANDANDO CALAR A 1ª DAMA?
LULA NUNCA MAISSSSSSSSSSSSSSSSS",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Luladrão é apoiado por essa mídia podre que fala de socialismo para o povo e para eles capitalismo, igual esta vera magalhaes aceitou propina para falar mal do atual presidente e defender quem roubou milhões do povo. Luladrão vai para cadeia.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Em 2023!Vamos de 22 Para presidente. Bolsonaro de novo!✌,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Com total certeza bolsonaro....,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Mais uma vez ... o mais preparado é bolsonaro e .,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Os picaretas que se elegeram de carona com número 17, agora falam mal.
O sul é e burro de carga do Brasil, tomam nossos impostos e não devolvem quase nada.
Sem contar a militância política do judiciário que persegue as pessoas de  direita.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula atacou o FHC com quem ele babou ovo de 2002 a 2010, nos comentários com Soraya. Que cara nojento, puta que pariu",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Nas considerações a verdade nao teve direito de resposta, no entanto lula tá inocente pela 1a 2a 3a.....da ONU nada a ver com o brasil",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
